TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
79538,WEST  133 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,13,GLTR,Manhattan,10030
79547,WEST  133 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,9,FRPE,Manhattan,10030
79552,WEST  133 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,2,ZESE,Manhattan,10030
79539,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,PRCE,Manhattan,10027
79544,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,9,PYCA,Manhattan,10027
79548,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,8,PYCA,Manhattan,10027
79554,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,9,TICO,Manhattan,10027
79566,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,TICO,Manhattan,10027
79577,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,TICO,Manhattan,10027
79560,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,7,PYCA,Manhattan,10027
79571,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,PYCA,Manhattan,10027
79580,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,TICO,Manhattan,10027
79663,LENOX AVENUE,WEST  133 STREET,WEST  134 STREET,2,4,PYCA,Manhattan,10037
79666,LENOX AVENUE,WEST  133 STREET,WEST  134 STREET,2,3,PYCA,Manhattan,10037
79673,LENOX AVENUE,WEST  133 STREET,WEST  134 STREET,2,4,PYCA,Manhattan,10037
79670,LENOX AVENUE,WEST  133 STREET,WEST  134 STREET,2,3,PYCA,Manhattan,10037
79676,LENOX AVENUE,WEST  133 STREET,WEST  134 STREET,2,4,PYCA,Manhattan,10037
79682,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,GLTR,Manhattan,10027
79689,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79698,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,PYCA,Manhattan,10027
79705,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79713,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79679,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79686,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,GLTR,Manhattan,10027
79693,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79701,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79709,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,GLTR,Manhattan,10027
79714,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,7,0,,Manhattan,10037
79718,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,2,6,QUPA,Manhattan,10037
79720,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,2,6,QURU,Manhattan,10037
79716,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79719,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79721,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,GLTR,Manhattan,10027
79725,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,2,6,QURU,Manhattan,10037
79730,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,7,0,,Manhattan,10037
79735,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,5,PYCA,Manhattan,10027
79737,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,STJA2,Manhattan,10027
79739,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,5,PYCA,Manhattan,10027
79723,LENOX AVENUE,WEST  131 STREET,WEST  130 STREET,3,8,GLTR,Manhattan,10037
79727,WEST  125 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,4,GLTR,Manhattan,10027
79731,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,3,PYCA,Manhattan,10027
79736,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,16,PLAC,Manhattan,10030
